,Rainfall,Day,Month,Year
244,0.0,2,9,1981
245,0.0,3,9,1981
246,0.0,4,9,1981
247,0.0,5,9,1981
248,0.0,6,9,1981
249,0.0,7,9,1981
250,0.0,8,9,1981
251,0.0,9,9,1981
252,0.0,10,9,1981
253,0.0,11,9,1981
254,0.0,12,9,1981
255,0.0,13,9,1981
256,0.0,14,9,1981
257,0.0,15,9,1981
258,0.0,16,9,1981
259,0.0,17,9,1981
260,0.0,18,9,1981
261,20.626,19,9,1981
262,0.0,20,9,1981
263,0.0,21,9,1981
264,0.0,22,9,1981
265,0.0,23,9,1981
266,0.0,24,9,1981
267,19.171,25,9,1981
268,12.12,26,9,1981
269,16.367,27,9,1981
270,0.0,28,9,1981
271,0.0,29,9,1981
272,0.0,30,9,1981
273,0.0,1,10,1981
274,0.0,2,10,1981
275,0.0,3,10,1981
276,0.0,4,10,1981
277,0.0,5,10,1981
278,0.0,6,10,1981
279,15.138,7,10,1981
280,0.0,8,10,1981
281,0.0,9,10,1981
282,0.0,10,10,1981
283,0.0,11,10,1981
284,13.402,12,10,1981
285,0.0,13,10,1981
286,0.0,14,10,1981
287,0.0,15,10,1981
288,0.0,16,10,1981
289,0.0,17,10,1981
290,0.0,18,10,1981
291,0.0,19,10,1981
292,0.0,20,10,1981
293,0.0,21,10,1981
294,0.0,22,10,1981
295,0.0,23,10,1981
296,0.0,24,10,1981
297,9.91,25,10,1981
298,0.0,26,10,1981
299,0.0,27,10,1981
300,0.0,28,10,1981
301,0.0,29,10,1981
302,0.0,30,10,1981
303,0.0,31,10,1981
304,0.0,1,11,1981
305,0.0,2,11,1981
306,15.854,3,11,1981
307,0.0,4,11,1981
308,0.0,5,11,1981
309,0.0,6,11,1981
310,0.0,7,11,1981
311,0.0,8,11,1981
312,0.0,9,11,1981
313,0.0,10,11,1981
314,0.0,11,11,1981
315,0.0,12,11,1981
316,0.0,13,11,1981
317,0.0,14,11,1981
318,0.0,15,11,1981
319,3.386,16,11,1981
320,0.0,17,11,1981
321,0.0,18,11,1981
322,10.222,19,11,1981
323,8.399,20,11,1981
324,0.0,21,11,1981
325,10.738,22,11,1981
326,0.0,23,11,1981
327,0.0,24,11,1981
328,0.0,25,11,1981
